gen,avg,max
1,0.9788858150295076,0.9826016760740766
2,0.9814055125806936,0.9826016760740766
3,0.9822237781721732,0.9826016760740766
4,0.9823053597609711,0.9826016760740766
5,0.9823748388396608,0.9826016760740766
6,0.9823053597609711,0.9826016760740766
7,0.9818479292563328,0.9826016760740766
8,0.982121719309524,0.9826016760740766
9,0.9825138661455687,0.9826016760740766
10,0.9822248807132883,0.9826016760740766
11,0.9820585440453471,0.9826016760740766
12,0.9818133471353864,0.9826016760740766
13,0.9821200670521832,0.9826016760740766
14,0.9815851143037895,0.9826016760740766
15,0.9819885313492178,0.9826016760740766
16,0.9821638713977197,0.9826016760740766
17,0.981892091196969,0.9826016760740766
18,0.9823833910153182,0.9826016760740766
19,0.9823311957939626,0.9826016760740766
20,0.982084792573168,0.9826016760740766
21,0.9821468676651223,0.9826016760740766
22,0.9821549061495121,0.9826016760740766
23,0.9825590889204173,0.9826016760740766
24,0.9821124014083895,0.9826016760740766
25,0.9820418750757187,0.9826016760740766
26,0.9823051036238064,0.9826016760740766
27,0.982077717829508,0.9826016760740766
28,0.9821020758527815,0.9826016760740766
29,0.9824540009159667,0.9826016760740766
30,0.9819181989288444,0.9826016760740766
31,0.9819618087843628,0.9826016760740766
32,0.9823213208655371,0.9826016760740766
33,0.982112910157484,0.9826016760740766
34,0.9821811546773331,0.9826016760740766
35,0.9825235624071929,0.9826016760740766
36,0.9821398844950511,0.9826016760740766
37,0.9821201453617644,0.9826016760740766
38,0.982427378969829,0.9826016760740766
39,0.9817783677651064,0.9826016760740766
40,0.9819531785606215,0.9826016760740766
41,0.9821209544232647,0.9826016760740766
42,0.9822074413375071,0.9826016760740766
43,0.9822687076294582,0.9826016760740766
44,0.9822430458988155,0.9826016760740766
45,0.9824356744306013,0.9826016760740766
46,0.9822867771384413,0.9826016760740766
47,0.9820501707979881,0.9826016760740766
48,0.9820844575487019,0.9826016760740766
49,0.9818757904419867,0.9826016760740766
50,0.9824271222549439,0.9826016760740766
51,0.9820947449719568,0.9826016760740766
52,0.9821824672842574,0.9826016760740766
53,0.9823052817128874,0.9826016760740766
54,0.9823298730411946,0.9826016760740766
55,0.9818567332047021,0.9826016760740766
56,0.9824185700792865,0.9826016760740766
57,0.9823137514760083,0.9826016760740766
58,0.982400573414717,0.9826016760740766
59,0.9819104168431164,0.9826016760740766
60,0.9822698514539276,0.9826016760740766
61,0.9821988891618497,0.9826016760740766
62,0.9821212886085132,0.9826016760740766
63,0.9818574463281609,0.9826016760740766
64,0.9817445938664429,0.9826016760740766
65,0.9819893352070477,0.9826016760740766
66,0.9821642287313224,0.9826016760740766
67,0.9822434765998261,0.9826016760740766
68,0.9823564166777511,0.9826016760740766
69,0.9825674673714465,0.9826016760740766
70,0.9819809434920106,0.9826016760740766
71,0.9825053139699113,0.9826016760740766
72,0.9824882096185964,0.9826016760740766
73,0.9822866990903573,0.9826016760740766
74,0.982119888385382,0.9826016760740766
75,0.9823221299270375,0.9826016760740766
76,0.982261042563385,0.9826016760740766
77,0.9824527787819162,0.9826016760740766
78,0.9820689227806938,0.9826016760740766
79,0.9820322573851731,0.9826016760740766
80,0.9821296618558722,0.9826016760740766
81,0.982297238024827,0.9826016760740766
82,0.9823649688534085,0.9826016760740766
83,0.981672488327616,0.9826016760740766
84,0.9820773969082672,0.9826016760740766
85,0.982023700005845,0.9826016760740766
86,0.9821381365611663,0.9826016760740766
87,0.9821559285898742,0.9826016760740766
88,0.9821562239601068,0.9826016760740766
89,0.9824357524786851,0.9826016760740766
90,0.982093601725208,0.9826016760740766
91,0.9823306821026949,0.9826016760740766
92,0.9814715698002258,0.9826016760740766
93,0.9819971615729591,0.9826016760740766
94,0.9822076931102192,0.9826016760740766
95,0.9822517591128138,0.9826016760740766
96,0.9825674673714465,0.9826016760740766
97,0.9819973402397605,0.9826016760740766
98,0.9822248807132883,0.9826016760740766
99,0.9823821512528074,0.9826016760740766
100,0.9824624750435401,0.9826016760740766
