gen;nevals;avg;std;min;max
0;200;0.5582327586206897;0.2453453387386538;0.3017241379310345;0.9827586206896551
1;138;0.7263362068965518;0.2494166760358658;0.3103448275862069;0.9827586206896551
2;164;0.8889224137931033;0.17213809314723522;0.3275862068965517;0.9827586206896551
3;153;0.9482327586206897;0.08743732892362652;0.3793103448275862;0.9827586206896551
4;161;0.9628448275862069;0.05922225565447339;0.3793103448275862;0.9913793103448276
5;156;0.9528879310344827;0.08913508591137423;0.3793103448275862;0.9913793103448276
6;157;0.9564655172413792;0.08341046272093122;0.31896551724137934;0.9913793103448276
7;167;0.95125;0.10328506341774732;0.31896551724137934;0.9913793103448276
8;165;0.961206896551724;0.06979565042374576;0.3793103448275862;0.9913793103448276
9;160;0.9420258620689654;0.12105835768798356;0.31896551724137934;0.9913793103448276
10;157;0.9278879310344827;0.1541156002396175;0.31896551724137934;0.9913793103448276
11;155;0.9613362068965517;0.07205874319104855;0.43965517241379315;0.9913793103448276
12;160;0.956551724137931;0.09000198174591839;0.31896551724137934;0.9913793103448276
13;159;0.9456465517241378;0.11713736987623548;0.31896551724137934;0.9913793103448276
14;159;0.9494827586206895;0.10485409714677872;0.3275862068965517;0.9913793103448276
15;160;0.9514224137931034;0.10274971575335844;0.31896551724137934;0.9913793103448276
16;154;0.9451293103448275;0.1102140169547127;0.36206896551724144;0.9913793103448276
17;152;0.9534482758620689;0.09772607863159495;0.36206896551724144;0.9913793103448276
18;150;0.9590517241379309;0.08754457841844766;0.31896551724137934;0.9913793103448276
19;162;0.9484051724137931;0.10567459777703855;0.36206896551724144;0.9913793103448276
20;166;0.9484051724137931;0.10806328483133139;0.31896551724137934;0.9913793103448276
21;156;0.9506896551724137;0.112172233587949;0.31896551724137934;0.9913793103448276
22;153;0.9578448275862067;0.08873361750288689;0.35344827586206895;0.9913793103448276
23;152;0.9600431034482757;0.09010240532473708;0.31896551724137934;0.9913793103448276
24;164;0.9509482758620689;0.1068735723354172;0.31896551724137934;0.9913793103448276
