gen;nevals;avg;std;min;max
0;20;0.9756740443479099;0.016545531297885222;0.945836065809259;0.9947793947793947
1;16;0.9877242473291895;0.0020215455594105765;0.9860439184123395;0.9947793947793947
2;15;0.988161160725965;0.0048058635125354104;0.9704649679741479;0.9947793947793947
3;19;0.9911178846467678;0.0030070900585225935;0.9860842218736956;0.9947793947793947
4;19;0.993204094783042;0.0014463454076278316;0.9895600053494791;0.9947793947793947
5;16;0.9941649341649338;0.0008373686683724574;0.993023793023793;0.9947793947793947
