gen;nevals;avg;std;min;max
0;20;0.8580341937202969;0.147721340513239;0.6894609551166785;0.9947806105700842
1;11;0.9631770487431895;0.08786470930176574;0.6955351192487622;0.9947806105700842
2;17;0.9947802458328775;5.571452863660204e-07;0.9947793947793947;0.9947806105700842
3;13;0.9947806105700844;2.220446049250313e-16;0.9947806105700842;0.9947806105700842
4;10;0.9947806105700844;2.220446049250313e-16;0.9947806105700842;0.9947806105700842
5;17;0.9947806105700844;2.220446049250313e-16;0.9947806105700842;0.9947806105700842
