Tipo,Modelo,F1-Macro,Acurácia,Tempo Médio (s),Amostras
ML Supervisionado,LogisticRegression,1.0,1.0,3.363854355282254e-05,144
ML Supervisionado,SVM,1.0,1.0,4.0552682346767855e-05,144
ML Supervisionado,NaiveBayes,0.9930525401650022,0.9930555555555556,3.745324081844754e-05,144
ML Supervisionado,FastText,0.9721375074852636,0.9722222222222222,1.3697478506300187e-05,144
LLM (GenAI),gemini-2.5-flash-lite,0.6389715335004386,0.7458333333333333,1.09049438337485,2880
LLM (GenAI),gpt-5-nano,0.6026126380763339,0.70625,5.690892594556014,2880
LLM (GenAI),llama-3.1-8b-instant,0.4789671920554217,0.6690972222222222,0.4871081865496106,2880
