gen;nevals;avg;std;min;max
0;20;0.5706896551724139;0.24820401259211186;0.3103448275862069;0.9655172413793104
1;13;0.7849137931034484;0.21955654352037868;0.3706896551724138;0.9655172413793104
2;18;0.9512931034482758;0.020450303731511136;0.896551724137931;0.9741379310344828
3;15;0.9646551724137933;0.008577477906091561;0.9482758620689655;0.9827586206896551
4;17;0.9685344827586209;0.008738420229617795;0.9568965517241379;0.9827586206896551
5;19;0.971551724137931;0.008223613805318476;0.9482758620689655;0.9827586206896551
