gen;nevals;avg;std;min;max
0;20;0.9708013725618512;0.00825080406952705;0.956294483181518;0.9826016760740766
1;15;0.9777395463797113;0.0065548897361435475;0.9616545534698522;0.9826016760740766
2;10;0.9816609367517584;0.0008509307339080454;0.9808912409425888;0.9826016760740766
3;13;0.982516154317502;0.00037278069438183374;0.9808912409425888;0.9826016760740766
4;16;0.982516154317502;0.00037278069438183374;0.9808912409425888;0.9826016760740766
5;18;0.9815517527950133;0.0042006364347092805;0.9633136456243004;0.9826016760740766
